place_id,cuisine,avg_price
24dc978f-adc6-4437-9d69-6ad16edf82c6,ایرانی,
24e37729-5112-4e18-8070-d9788e717a98,ایرانی,
24fc5b70-bd5a-4160-8d4a-042e4183ffab,ایرانی,
250148c4-6720-4b46-a75f-7f6e63c3e95c,ایرانی,
25021597-6f31-4f91-8f91-dc957f92f132,ایرانی,
256c90ec-07bd-4e56-adee-7c5411321687,ایرانی,
258b842b-79f1-4a9a-9a48-76b7c799928e,ایرانی,
2594d442-4563-47ce-b3a6-4b598f5982e1,ایرانی,
25afdcb5-2547-43db-82e8-f30ce5256da9,ایرانی,
261d7d65-dd75-45dd-9593-8f807c0d709a,ایرانی,
266c971b-0a1b-4bdc-ab8c-392a33edb16d,ایرانی,
26d55951-720b-4b03-baa7-7202421d8877,ایرانی,
26ff51d0-17ea-4de0-bec3-be802dd40e6a,ایرانی,
2711c478-2922-4e3d-b3d1-8d1493ea34ec,ایرانی,
27e5babd-305e-48a7-9568-ef39f54fc6f7,ایرانی,
28576052-cd71-437f-ac1e-3503ae9d0e80,ایرانی,
28a019fd-1df7-44ba-9f94-21c7aa3b5209,ایرانی,
28e5faa8-f7fa-4370-9456-a5349cf37f30,ایرانی,
2904d18a-0b31-4267-be84-057e15b19280,ایرانی,
29361536-a7f1-4ef2-85a4-c83a5e80f88a,ایرانی,
29855a15-b4c7-449a-b61a-47374abef5f9,ایرانی,
29866153-3f15-4e4b-b14a-bc0cd52cf158,ایرانی,
29868cc1-5f03-4bd8-926f-b029d5cffc1c,ایرانی,
29869737-269e-42a7-86c0-e86e914c7e7b,ایرانی,
2997e7ba-89dd-46c9-a1e1-c722e4a032cb,ایرانی,
29b1a3af-810c-4830-8bdb-161ba59ba364,ایرانی,
29bfceda-1f43-48a8-aa79-0484f31cb1d5,ایرانی,
2b01f2c6-c100-4c04-bd9d-311044410b7d,ایرانی,
2b76a0af-83f0-4b14-8d30-e31f016c707a,ایرانی,
2bdceed2-1709-4220-9e0d-529930fc1ad7,ایرانی,
2c3de1c2-916c-4b06-a403-3a2c6ba8b94d,ایرانی,
2c45cc9a-c106-4437-9291-f3e41ae68ddd,ایرانی,
2cfd3709-55bc-4a81-8669-5b3ca203a55a,ایرانی,
2d351b89-7bb9-41eb-9ad2-af8e180057f9,ایرانی,
2d5f0953-a190-482e-bce5-bb5b155477c9,ایرانی,
2d769c9f-dc4b-4f86-994b-5ba3a420ac54,ایرانی,
2dd07dae-292c-4112-aedc-f95db94fc13a,ایرانی,
2dd46320-42e1-4ee8-b17d-8727e5562ec6,ایرانی,
2df3c35d-1467-431c-8f3d-d3d68d2cb6d4,ایرانی,
2e12781f-a448-49e1-a37c-b7f0cd2bcf65,ایرانی,
2e61fe6b-8519-4fcd-af8d-248d97edd3b8,ایرانی,
2ec3932c-3764-402e-a6d5-8a19145c26d2,ایرانی,
2ee3c3dc-76d8-46fa-9d4e-fb1e7ee4322b,ایرانی,
2f06b42e-ade4-4e7c-97e0-f5faf99d1d1c,ایرانی,
2f10224f-fdef-4997-a360-c2bfd25839ee,ایرانی,
2f1e292d-507a-4849-9d4e-15acc46f175c,ایرانی,
2faecb14-afe9-450d-a483-bccb00d0b62b,ایرانی,
2fd1dddc-e82a-430f-8f5d-8f0723c0352f,ایرانی,
3047c9c8-466a-46d5-95ab-d5a799270eb1,ایرانی,
304affa0-f0dc-4ccf-8366-f0402bd762d3,ایرانی,
30620bef-e2bb-43e9-8418-c984b12a1a6f,ایرانی,
30ce8794-7fde-4a87-9554-1b06a1ee3435,ایرانی,
30e59407-b59d-4e61-bcb3-3ea6a73baa82,ایرانی,
315ce8b1-a888-4231-ab9c-ffc92482970c,ایرانی,
3172cf5b-130b-49a0-b6ee-90f2a84515c4,ایرانی,
31d05425-bd19-47e6-8307-d06935c2695f,ایرانی,
32195647-9447-49c2-babd-452753ea8a93,ایرانی,
32d3d746-6799-449f-8604-6add716f9a04,ایرانی,
