place_id,type,city,address,latitude,longitude
0ca816df-fd17-571a-89ee-6e462e69af2a,entertainment,سورچه پائین,اصفهان,32.3502465,51.4277427
0ced17df-e3b6-5289-bf89-a9d350fc1612,entertainment,اصلاندوز,اردبیل,39.4417175,47.4102145
0cf19477-90de-5cc1-a3b4-a1f34e22c073,entertainment,مینودشت,گلستان,37.2288889,55.3747222
0d050360-bd45-5df8-82af-329795923855,entertainment,روشناوند,خراسان رضوی,34.4666667,58.9116667
0d42175e-473d-4640-83f2-3d900becdbc2,food,تبریز,آذربایجان شرقی، تبریز، محله ولیعصر، رازی,38.060276,46.3617362
0d6148af-2b25-49cd-8408-764295d32e51,food,تبریز,آذربایجان شرقی، تبریز، محله کوی سهند، بزرگراه ائل گؤلی، امید,38.0244674,46.3617858
0d75c434-8a03-4552-9bc4-a58fb3bdd37b,food,مرند,آذربایجان شرقی، مرند، جلفا، شفیعی، ظفر,38.4393653,45.7751922
0d941d9e-3299-4025-b4dd-fa07f6d17eb7,hospital,ایلخچی,آذربایجان شرقی، آذرشهر، دانشگاه مدنی آذربایجان، شهید آوینی، آوینی,37.8106063,45.9504272
0d9d3263-339c-5e14-b786-25afa606877d,entertainment,ملایر,همدان,34.2922623,48.8215749
0de297b0-6a0a-505d-9f25-e03c835fc864,entertainment,گلپایگان,اصفهان,33.456488,50.2883303
0e09381f-611c-42c7-9363-4cba5d09febe,food,مرند,آذربایجان شرقی، مرند، بلوار شهید باکری,38.4439315,45.7751808
0e0d8f64-0770-400c-a23c-b58bf837afa4,food,جلفا,آذربایجان شرقی، جلفا، جاده جلفا-پلدشت,38.9610865,45.5927064
0e277a99-ea2b-4793-9713-70ed44513c19,hospital,تبریز,آذربایجان شرقی، تبریز، زعفرانیه,38.0523474,46.3423596
0e675ac2-1ab4-476d-9bfa-77d595259e63,food,بناب,آذربایجان شرقی، بناب، خیابان امام خمینی (ره),37.3387031,46.0538215
0e82036a-b1f7-4e0b-8f31-ee55983a4441,food,تبریز,آذربایجان شرقی، تبریز، بزرگراه بسیج,38.048193,46.369598
0e8fcab7-ebcf-528f-b733-7e4ec45f6e79,entertainment,اسلام آباد غرب,کرمانشاه,34.1132923,46.5257463
0ea9392f-8a15-5c24-a47f-08699ff54a4d,entertainment,فتح‌ آباد,فارس,29.939941,52.7992229
0f68d774-8ed7-5ab9-ae3a-ad090387e06d,entertainment,کرمانشاه,کرمانشاه,34.3239414,47.0735891
0f691a71-40b3-5da1-aab3-c60c66e54df4,entertainment,کشکسرای,آذربایجان شرقی,38.458553,45.5673225
0f6d5431-d4fa-5f2f-910b-e5efb92f9478,entertainment,دوزه,فارس,28.7017719,52.9536255
0f9de197-2bbf-5c8a-b8fe-b2049ccae7cf,entertainment,بازرگان,آذربایجان غربی,39.3886668,44.3876859
0f9f5874-1a8e-4046-b746-6c2f584cdd85,hospital,بناب,آذربایجان شرقی، بناب، خیابان امام خمینی (ره)، هلال، خیابان هلال,37.3455798,46.0555777
0fb24d09-f607-4e23-bffb-d7b4a1787abb,food,شهر جدید سهند,آذربایجان شرقی، شهر جدید سهند، صدرا,37.9455484,46.1147198
0fb3147e-1324-4b77-9f87-e6bfe6c2e217,food,تبریز,آذربایجان شرقی، تبریز، بلوار ٢٩ بهمن(راهنمایی)، 29 بهمن,38.0647888,46.3280372
0fbbfaf8-c243-4847-9856-0fb065853f6d,food,تبریز,آذربایجان شرقی، تبریز، محله ولیعصر جنوبی، بزرگراه بسیج، باختر,38.0472942,46.3654392
103d9055-4e66-469e-b5d2-26b57ca92e0a,food,تبریز,آذربایجان شرقی، تبریز، محله نگین پارک، صدف,38.0672174,46.3506643
1047abe3-19d2-5623-a21e-62b1499d6ad9,entertainment,ملکان,آذربایجان شرقی,37.1432315,46.1056025
105ae642-97b5-459f-b55a-06d05ed23ccd,food,مرند,آذربایجان شرقی، مرند، خیابان امام خمینی، خیابان شریعتی شرقی، خیابان استادیوم,38.4280014,45.7779273
105bbc62-6aa8-4fa6-879c-5bdf4a2bf7f2,food,مرند,آذربایجان شرقی، مرند، جلفا، شفیعی,38.4395828,45.7770996
106657b6-9b26-422b-aa73-d0d5ee32e794,hospital,مرند,آذربایجان شرقی، مرند، بلوار شهید باکری، بلوار سردار شهید عباس عبدالهی,38.4467353,45.7787895
1086ef97-b2b4-59e9-b579-de77bc7a1966,entertainment,رفسنجان,کرمان,30.402184,55.9941776
108931db-ffb9-4707-a98a-e2af10646780,food,تبریز,آذربایجان شرقی، تبریز، محله پرواز، ۵ بابایی,38.0384559,46.3664093
10a0bf17-f292-5129-8930-735310b1e511,entertainment,کبودرآهنگ,همدان,35.2083683,48.7242053
10b50500-beee-472e-b158-e51edafef3e6,food,بناب,آذربایجان شرقی، بناب، بلوار امام خمینی (ره),37.3477363,46.0562782
10dd9304-58f6-409a-903d-67191d1b92ce,food,مرند,آذربایجان شرقی، مرند، طالقانی,38.4310226,45.7734451
10ee43cf-8040-5da7-9348-103a0bcc7ba8,entertainment,قنوات,قم,34.6136599,51.0246432
10f0b4ee-d81b-4020-ae4a-56a09b2cec57,hospital,بناب,آذربایجان شرقی، بناب، جاده بناب - زوارق، بیمارستان شهدا، بیمارستان,37.3021718,46.0541914
11115442-e347-44ce-9e92-f7efc7a66013,food,بناب,آذربایجان شرقی، بناب، دوربرگردان، کنارگذر,37.3372917,46.0713157
11191578-583d-527e-9c4f-640ad006a7e2,entertainment,آزادشهر,گلستان,37.0875125,55.1725639
11198c16-cb55-46d7-9215-8390f28d8f8a,hotel,Culfa,Culfa، آذربایجان,38.9554393,45.6257324
112a2ac8-d726-4ceb-abb2-c852c8461c39,food,بناب,آذربایجان شرقی، بناب، خیابان باهنر,37.3342132,46.0526618
11396d20-2fbb-505e-b3aa-12f15ab13757,entertainment,میانرود,خوزستان,32.153851,48.4392787
1139fb3b-c296-4cf0-87fd-4242264ea5ef,food,تبریز,آذربایجان شرقی، تبریز، محله کوی سهند، کوی سهند,38.0284996,46.3574028
11460e48-4edd-4822-b2ee-02fc219e7cf3,food,جلفا,آذربایجان شرقی، جلفا، میدان عاشورا,38.941138,45.6333559
1162c712-e093-591e-82d7-b2fd640dca8e,entertainment,خاتون آباد,کرمان,30.0077147,55.4204993
11f35a1c-ffc4-4354-b2f8-7c5391ba5a61,food,مرند,آذربایجان شرقی، مرند، بلوار آیت اله مرندی، کنار گذر بلوار آیت اله مرندی,38.4334793,45.7535858
1217799f-6cf9-4757-9df6-2a0cdee3e575,hospital,تبریز,آذربایجان شرقی، تبریز، محله ولیعصر، بلوار ولیعصر,38.0590438,46.3582611
126de364-39e1-58b3-84fd-f8944224fe88,entertainment,آبیش احمد,آذربایجان شرقی,39.0431974,47.3169755
1290932a-e296-5de3-a1e6-1f58ea4c904e,entertainment,بنت,سیستان و بلوچستان,26.290834,59.5237216
129e60e5-195f-4ad9-8631-451026938fa4,food,بناب,آذربایجان شرقی، بناب، بزرگراه سپهبد قاسم سلیمانی، بعثت ۱۱,37.3453063,46.071949
