city_id,name_fa,name_en,province_id,latitude,longitude
422,قهستان,Qohestan,10,33.1495413,59.7165809
423,سمنان,Semnan,15,35.5834074,53.3882906
424,ایلام,Ilam,6,33.6379365,46.4202743
425,رفسنجان,Rafsanjan,21,30.402184,55.9941776
426,بومهن,Bumehen,8,35.7285207,51.864313
427,نوسود,Nowsud,22,35.1612676,46.2042463
428,جالق,Jaleq,16,27.6033419,62.7097131
429,احمدآباد صولت,Ahmadabad-e Sowlat,11,35.1163649,60.6897163
430,سمیع آباد,Samiabad-e Arbab Din Mohammad,11,35.1482299,60.9052271
431,لاریم,Larim,27,36.7232053,52.936226
432,ازگله,Ezgeleh,22,34.8322142,45.8424966
433,کلاته,Kalateh,15,36.3570835,54.1455832
434,رزوه,Rozveh,4,32.8349784,50.5673592
435,بابلسر,Babolsar,27,36.7008777,52.6481047
436,گلشن,Golshan,4,31.9354578,51.752294
437,بروجرد,Borujerd,26,33.8943281,48.7560936
438,خور,Khur,4,33.7761331,55.0828304
439,لیسار,Lisar,25,37.958973,48.9082044
440,ارسک,Eresk,10,33.7015379,57.3732972
441,انار,Anar,21,30.8723337,55.2716302
442,دبیران,Dabiran,17,28.4064149,54.1884143
443,دوزه,Duzeh,17,28.7017719,52.9536255
444,افزر,Efzar,17,28.3468462,52.9664812
445,خور,Khur,17,27.6459069,54.345362
446,لطیفی,Latifi,17,27.6900779,54.38714
447,شهر پیر,Shahr-e Pir,17,28.3116705,54.3351822
448,ازندریان,Azandarian,30,34.504361,48.6909354
449,برزول,Barzul,30,34.2128467,48.2600728
450,دمق,Damaq,30,35.4431296,48.8234849
451,گیان,Giyan,30,34.1771986,48.2445727
452,ملایر,Malayer,30,34.2922623,48.8215749
453,قروه درجزین,Qorveh-e Darjazin,30,35.3101504,49.1004503
454,شیرین سو,Shirin Su,30,35.4926221,48.4515219
455,فامنین,Famenin,30,35.1179137,48.9721158
456,قهاوند,Qahavand,30,34.8594697,49.0033362
457,گزیک,Gazik,10,33.000821,60.2266472
458,طبس مسینا,Tabas-e Masina,10,32.8063555,60.222247
459,جعفریه,Jafariyeh,19,34.7747682,50.5164348
460,بار,Bar,11,36.4897198,58.7161898
461,شهر خرو,Kharv,11,36.1442815,59.0158029
462,علی‌اکبر,Aliakbar,16,30.9382799,61.3249452
463,بنت,Bent,16,26.290834,59.5237216
464,فنوج,Fanuj,16,26.575768,59.6398773
465,گلمورتی,Golmorti,16,27.4809916,59.4483063
466,هیدوج,Hiduj,16,27.0005081,62.116917
467,محمدی,Mohammadi,16,27.3278336,62.3903874
468,نگور,Negur,16,25.3889117,61.1390842
469,نصرت‌آباد,Nosratabad,16,29.8589189,59.9802973
470,زهک,Zehak,16,30.8932189,61.6827311
471,امامزاده عبدالله,Emamzadeh Abdollah,27,36.4062759,52.3095848
472,گزنک,Gazanak,27,35.9038115,52.2246758
473,کلارآباد,Kelarabad,27,36.6964662,51.2511485
474,پول,Pool,27,36.3947555,51.5948604
475,میاندوآب,Miandoab,2,36.9695588,46.0993809
476,تیمورلو,Teymurlu,1,37.8054805,45.8995042
477,کیاشهر,Kiashahr,25,37.4188972,49.9488125
478,فردیس,Fardis,5,35.7316704,50.9891563
479,لولمان,Loleman,25,37.2551709,49.8150112
480,حسن آباد,laien no,11,37.1283649,59.499124
481,هجدک,Hojedk,21,30.7594357,57.0039838
482,بندر لنگه,Bandar-e Lengeh,29,26.5620668,54.883817
483,قلعه نو علیا,Qal‘eh Now-e Olya,11,35.0974828,60.1580054
484,باغشاد,Baghshad,4,32.3837155,51.2325317
485,ایمان شهر,Iman Shahr,4,32.4881597,51.4469528
486,باسمنج,Basmenj,1,37.9955619,46.4749113
487,جوزدان,Jowzdan,4,32.5566297,51.3714526
488,سعید آباد,Said Abad,4,33.5288003,50.3203988
489,لای بید,Lay Bid,4,33.4620923,50.6952181
490,گرگاب,Gorgab,4,32.8678119,51.5981358
491,کشمش تپه,Keshmesh Tappeh,2,39.337925,44.39504
492,اشترینان,Oshtorinan,26,34.0166865,48.6426479
493,فیروزآباد,Firuzabad,26,33.8982515,48.1034902
494,قطور,Qatur,2,38.4714718,44.4099457
495,گلشهر,Golshahr,4,33.5130447,50.4754975
496,گودین,Gowdin,22,34.5071703,48.079899
497,بوئین و میاندشت,Buin and Miandasht,4,33.0805194,50.1598427
498,سطر,Satar,22,34.8126546,47.4612562
499,سپاهان شهر,Sepahan Shahr,4,32.5507746,51.6741091
