village_id,name_fa,name_en,city_id,latitude,longitude
18897,قلعه کندی,قلعه کندی,372,38.9864763,47.3997659
18898,لروم,لروم,84,38.7530715,47.2973019
18899,حوریدرق,حوریدرق,84,38.7614672,47.3095575
18900,مرادلو,مرادلو,84,38.7547687,47.3291936
18901,چیناب,چیناب,84,38.7607908,47.3780858
18902,قوش قیه سی,قوش قیه سی,372,39.1212344,47.3548867
18903,قیه دیبی,قیه دیبی,372,39.0208526,47.3685945
18904,اق براز,اق براز,372,39.0105805,47.3910586
18905,ورچین سفلی,ورچین سفلی,372,39.0125834,47.4137753
18906,تابستانق,تابستانق,372,39.0092665,47.4214905
18907,ورچین علیا,ورچین علیا,372,39.0062982,47.4188673
18908,ازنابخالصه,ازنابخالصه,372,39.051421,47.4619097
18909,خلف بیگلوی علیا,خلف بیگلوی علیا,665,39.3415707,47.271388
18910,قوچ احمد,قوچ احمد,375,36.945965,47.0455025
18911,حمام,حمام,375,36.9039618,47.0399062
18912,گل,گل,375,36.8929527,47.0559877
18913,بنفشه درق,بنفشه درق,375,36.9662358,47.1411355
18914,چوکتو,چوکتو,375,36.8802348,47.0858136
18915,خاتون گنای,خاتون گنای,375,36.9482925,47.0102203
18916,حسینی علیا,حسینی علیا,375,37.2208622,47.0497598
18917,شورقره کند,شورقره کند,375,37.2235506,47.0987933
18918,گل تپه,گل تپه,375,37.19091,47.0313729
18919,میررزابیگ کندی,میررزابیگ کندی,375,37.1772107,47.0196312
18920,گل ویران,گل ویران,375,37.0945313,47.0186599
18921,پالچقلو,پالچقلو,375,37.1323699,47.0741295
18922,گلوجه علیا,گلوجه علیا,375,37.1216368,47.0955281
18923,شیویار شیویاربالا,شیویار شیویاربالا,375,37.1657947,47.1045571
18924,قینرجه سفلی,قینرجه سفلی,375,37.0310372,47.1449782
18925,قینرجه علیا,قینرجه علیا,375,37.0294939,47.1408456
18926,کهریز,کهریز,375,37.0197285,47.1025534
18927,شورجه امام جمعه,شورجه امام جمعه,375,37.3005441,47.0075234
18928,امین آباد,امین آباد,375,37.2982194,47.0548733
18929,القو,القو,375,37.2970982,47.1003313
18930,ورقه علیا,ورقه علیا,375,37.3185896,47.0524679
18931,سرچشمه,Sar Cheshmeh,699,37.8754244,47.0506829
18932,لنجوان,لنجوان,699,37.8429637,47.0360671
18933,اسماعیل آباد,اسماعیل آباد,699,37.8296216,47.0425622
18934,برنج آباد,برنج آباد,699,37.836054,47.0721685
18935,دهدولان,دهدولان,699,37.8257022,47.1248688
18936,کهدلان,کهدلان,699,37.819943,47.1362518
18937,نقاره کوب قدیم,نقاره کوب قدیم,384,38.4943301,47.2163881
18938,گرده سنگ,گرده سنگ,84,38.6225624,47.2243496
18939,خالان,خالان,372,38.9969562,47.2114721
18940,سیدلرسفلی,سیدلرسفلی,372,38.9780121,47.2417867
18941,پیره ماشان,پیره ماشان,372,38.9851161,47.1762147
18942,هلیلو,هلیلو,84,38.7521299,47.2288415
18943,شریق,شریق,372,39.0526122,47.1222043
18944,اسبهار علیا,اسبهار علیا,372,39.1269066,47.2434329
18945,داش قیه باشی,داش قیه باشی,372,39.1163155,47.2313148
18946,سراجلو,سراجلو,372,39.1109433,47.2479722
18947,خان کندی,خان کندی,372,39.0227301,47.1846481
18948,قران چای کندی,قران چای کندی,372,39.0687701,47.2028594
